noOfBedRoom,rent,propertyType,areaSqft,y,x,areaSqm,leaseDate,street,project,district
1,2500,Non-landed Properties,600-700,41026.21534,18136.42149,60-70,1124,CHOA CHU KANG LOOP,NORTHVALE,23
2,3450,Non-landed Properties,1000-1100,41026.21534,18136.42149,100-110,1224,CHOA CHU KANG LOOP,NORTHVALE,23
3,4200,Non-landed Properties,1200-1300,41026.21534,18136.42149,110-120,1224,CHOA CHU KANG LOOP,NORTHVALE,23
2,4000,Non-landed Properties,1000-1100,41026.21534,18136.42149,90-100,1024,CHOA CHU KANG LOOP,NORTHVALE,23
1,2500,Non-landed Properties,600-700,41026.21534,18136.42149,60-70,1224,CHOA CHU KANG LOOP,NORTHVALE,23
2,3300,Non-landed Properties,1000-1100,41026.21534,18136.42149,100-110,1224,CHOA CHU KANG LOOP,NORTHVALE,23
3,4400,Non-landed Properties,1200-1300,41026.21534,18136.42149,110-120,1124,CHOA CHU KANG LOOP,NORTHVALE,23
2,3600,Non-landed Properties,1000-1100,41026.21534,18136.42149,90-100,1124,CHOA CHU KANG LOOP,NORTHVALE,23
2,3500,Non-landed Properties,1000-1100,41026.21534,18136.42149,100-110,1224,CHOA CHU KANG LOOP,NORTHVALE,23
2,2800,Non-landed Properties,1000-1100,41026.21534,18136.42149,100-110,1224,CHOA CHU KANG LOOP,NORTHVALE,23
2,3900,Non-landed Properties,900-1000,41026.21534,18136.42149,80-90,1224,CHOA CHU KANG LOOP,NORTHVALE,23
2,3300,Non-landed Properties,1000-1100,41026.21534,18136.42149,100-110,1224,CHOA CHU KANG LOOP,NORTHVALE,23
3,4400,Non-landed Properties,1300-1400,41026.21534,18136.42149,120-130,1024,CHOA CHU KANG LOOP,NORTHVALE,23
NA,3000,Non-landed Properties,800-900,32252.14009,36151.22152,80-90,1224,CHAPEL CLOSE,NON-LANDED HOUSING DEVELOPMENT,15
NA,2900,Non-landed Properties,700-800,32252.14009,36151.22152,70-80,1224,CHAPEL CLOSE,NON-LANDED HOUSING DEVELOPMENT,15
NA,4000,Non-landed Properties,800-900,32252.14009,36151.22152,80-90,1124,CHAPEL CLOSE,NON-LANDED HOUSING DEVELOPMENT,15
NA,6000,Semi-Detached House,2000-2500,36048.08251,21178.47083,200-250,1224,LORONG PISANG UDANG,MANDARIN PARK,21
3,3400,Non-landed Properties,1000-1100,29281.21422,22924.2792,90-100,1124,SOUTH BUONA VISTA ROAD,BAYVILLE CONDOMINIUM,05
1,2900,Non-landed Properties,400-500,32935.89043,36298.38868,40-50,1224,JOO CHIAT PLACE,PARC BLEU,15
2,4000,Non-landed Properties,1100-1200,32935.89043,36298.38868,100-110,1124,JOO CHIAT PLACE,PARC BLEU,15
1,2550,Non-landed Properties,400-500,32935.89043,36298.38868,40-50,1124,JOO CHIAT PLACE,PARC BLEU,15
2,3200,Non-landed Properties,500-600,32041.49759,35754.115,40-50,1224,CEYLON ROAD,LEVILLE ISUITES,15
1,2500,Non-landed Properties,300-400,32041.49759,35754.115,30-40,1224,CEYLON ROAD,LEVILLE ISUITES,15
1,2650,Non-landed Properties,300-400,32041.49759,35754.115,30-40,1024,CEYLON ROAD,LEVILLE ISUITES,15
1,3300,Non-landed Properties,700-800,32041.49759,35754.115,60-70,1024,CEYLON ROAD,LEVILLE ISUITES,15
1,2900,Non-landed Properties,300-400,32041.49759,35754.115,30-40,1124,CEYLON ROAD,LEVILLE ISUITES,15
2,3500,Non-landed Properties,600-700,32041.49759,35754.115,50-60,1124,CEYLON ROAD,LEVILLE ISUITES,15
4,24000,Non-landed Properties,>3000,31020.04041,28534.09299,>300,1224,KILLINEY ROAD,RESIDENCES @ KILLINEY,09
2,7300,Non-landed Properties,1000-1100,31020.04041,28534.09299,90-100,1224,KILLINEY ROAD,RESIDENCES @ KILLINEY,09
3,9400,Non-landed Properties,1600-1700,31020.04041,28534.09299,150-160,1224,KILLINEY ROAD,RESIDENCES @ KILLINEY,09
2,7000,Non-landed Properties,1000-1100,31020.04041,28534.09299,90-100,1224,KILLINEY ROAD,RESIDENCES @ KILLINEY,09
3,10000,Non-landed Properties,1600-1700,31020.04041,28534.09299,150-160,1224,KILLINEY ROAD,RESIDENCES @ KILLINEY,09
3,8400,Non-landed Properties,1400-1500,31020.04041,28534.09299,130-140,1224,KILLINEY ROAD,RESIDENCES @ KILLINEY,09
2,6800,Non-landed Properties,1000-1100,31020.04041,28534.09299,90-100,1024,KILLINEY ROAD,RESIDENCES @ KILLINEY,09
3,8800,Non-landed Properties,1400-1500,31020.04041,28534.09299,130-140,1224,KILLINEY ROAD,RESIDENCES @ KILLINEY,09
3,9000,Non-landed Properties,1500-1600,31020.04041,28534.09299,140-150,1024,KILLINEY ROAD,RESIDENCES @ KILLINEY,09
3,8400,Non-landed Properties,1400-1500,31020.04041,28534.09299,130-140,1124,KILLINEY ROAD,RESIDENCES @ KILLINEY,09
NA,5800,Semi-Detached House,1000-1500,37824.67624,31576.56965,100-150,1124,CARISBROOKE GROVE,SERANGOON GARDEN ESTATE,19
NA,5600,Terrace House,2000-2500,37824.67624,31576.56965,150-200,1024,CARISBROOKE GROVE,SERANGOON GARDEN ESTATE,19
NA,5000,Semi-Detached House,3000-3500,34683.5241521137,40791.7981242399,300-350,1124,BEDOK ROAD,LANDED HOUSING DEVELOPMENT,16
3,7800,Non-landed Properties,1500-1600,33500.97107,27172.68838,140-150,1224,ROBIN WALK,KUIE PONG LOFT,10
3,6500,Non-landed Properties,1400-1500,33500.97107,27172.68838,130-140,1224,ROBIN WALK,KUIE PONG LOFT,10
3,4500,Non-landed Properties,1400-1500,34178.20033,30045.42542,130-140,1124,JALAN AMPAS,BALESTIER REGENCY,12
NA,18000,Detached House,4000-4500,31453.51395,34360.8921,350-400,1024,BROADRICK ROAD,LANDED HOUSING DEVELOPMENT,15
3,8800,Non-landed Properties,1700-1800,31517.3684,26933.45739,160-170,1024,GRANGE GARDEN,THE GRANGE,10
4,12500,Non-landed Properties,2300-2400,31517.3684,26933.45739,210-220,1224,GRANGE GARDEN,THE GRANGE,10
3,8900,Non-landed Properties,1700-1800,31517.3684,26933.45739,160-170,1024,GRANGE GARDEN,THE GRANGE,10
3,8700,Non-landed Properties,1700-1800,31517.3684,26933.45739,160-170,1024,GRANGE GARDEN,THE GRANGE,10
1,2300,Non-landed Properties,500-600,33719.29744,41814.99253,40-50,1024,EASTWOOD ROAD,EASTWOOD REGENCY,16
NA,2500,Non-landed Properties,400-500,33719.29744,41814.99253,30-40,1024,EASTWOOD ROAD,EASTWOOD REGENCY,16
NA,2400,Non-landed Properties,400-500,33719.29744,41814.99253,30-40,1124,EASTWOOD ROAD,EASTWOOD REGENCY,16
NA,2500,Non-landed Properties,400-500,33719.29744,41814.99253,30-40,1124,EASTWOOD ROAD,EASTWOOD REGENCY,16
1,2100,Non-landed Properties,400-500,33719.29744,41814.99253,40-50,1124,EASTWOOD ROAD,EASTWOOD REGENCY,16
NA,2200,Non-landed Properties,400-500,33719.29744,41814.99253,30-40,1124,EASTWOOD ROAD,EASTWOOD REGENCY,16
NA,2500,Non-landed Properties,400-500,33719.29744,41814.99253,30-40,1224,EASTWOOD ROAD,EASTWOOD REGENCY,16
1,2100,Non-landed Properties,500-600,33719.29744,41814.99253,40-50,1224,EASTWOOD ROAD,EASTWOOD REGENCY,16
NA,2400,Non-landed Properties,300-400,33719.29744,41814.99253,30-40,1024,EASTWOOD ROAD,EASTWOOD REGENCY,16
2,4680,Non-landed Properties,900-1000,36894.83959,31025.93863,80-90,1224,LORONG CHUAN,THE CHUAN,19
2,4650,Non-landed Properties,900-1000,36894.83959,31025.93863,80-90,1224,LORONG CHUAN,THE CHUAN,19
4,9000,Non-landed Properties,1600-1700,36894.83959,31025.93863,150-160,1224,LORONG CHUAN,THE CHUAN,19
2,4500,Non-landed Properties,900-1000,36894.83959,31025.93863,80-90,1024,LORONG CHUAN,THE CHUAN,19
3,6000,Non-landed Properties,1200-1300,36894.83959,31025.93863,110-120,1224,LORONG CHUAN,THE CHUAN,19
4,8200,Non-landed Properties,1600-1700,36894.83959,31025.93863,150-160,1024,LORONG CHUAN,THE CHUAN,19
3,5900,Non-landed Properties,1200-1300,36894.83959,31025.93863,110-120,1024,LORONG CHUAN,THE CHUAN,19
4,9000,Non-landed Properties,1600-1700,36894.83959,31025.93863,150-160,1024,LORONG CHUAN,THE CHUAN,19
3,7200,Non-landed Properties,1400-1500,36894.83959,31025.93863,130-140,1124,LORONG CHUAN,THE CHUAN,19
3,6750,Non-landed Properties,1400-1500,36894.83959,31025.93863,130-140,1024,LORONG CHUAN,THE CHUAN,19
3,4900,Non-landed Properties,1000-1100,37628.34828,27496.16774,90-100,1224,UPPER THOMSON ROAD,THREE 11,20
2,3700,Non-landed Properties,700-800,37628.34828,27496.16774,60-70,1224,UPPER THOMSON ROAD,THREE 11,20
